1 #SUP: 3916
2 #SUP: 4208
3 #SUP: 3656
6 #SUP: 3152
9 #SUP: 2556
10 #SUP: 3244
11 #SUP: 2320
13 #SUP: 2284
16 #SUP: 1840
23 #SUP: 3376
24 #SUP: 4748
28 #SUP: 3528
29 #SUP: 2160
34 #SUP: 7914
36 #SUP: 6812
38 #SUP: 2512
39 #SUP: 5612
48 #SUP: 1728
52 #SUP: 3516
53 #SUP: 4608
56 #SUP: 3776
58 #SUP: 2480
59 #SUP: 5176
61 #SUP: 2372
63 #SUP: 4936
66 #SUP: 2304
67 #SUP: 4464
69 #SUP: 1872
76 #SUP: 4384
77 #SUP: 1872
85 #SUP: 8124
86 #SUP: 7924
90 #SUP: 7488
93 #SUP: 3968
94 #SUP: 2776
98 #SUP: 1872
99 #SUP: 1968
101 #SUP: 1632
102 #SUP: 2388
110 #SUP: 4040
111 #SUP: 1712
114 #SUP: 2148
116 #SUP: 3148
1 53 58 #SUP: 1728
1 53 85 #SUP: 2016
1 53 86 #SUP: 2016
1 53 90 #SUP: 2016
1 53 94 #SUP: 1728
1 53 102 #SUP: 1728
1 53 110 #SUP: 1872
1 56 85 #SUP: 1856
1 56 86 #SUP: 1856
1 56 90 #SUP: 1784
1 58 85 #SUP: 1760
1 58 86 #SUP: 1760
1 58 90 #SUP: 1760
1 58 94 #SUP: 1760
1 58 102 #SUP: 1760
1 58 110 #SUP: 1760
1 61 66 #SUP: 1728
1 61 85 #SUP: 2228
1 61 86 #SUP: 2228
1 61 90 #SUP: 2192
1 66 85 #SUP: 2160
1 66 86 #SUP: 2160
1 66 90 #SUP: 2160
1 67 85 #SUP: 1712
1 67 86 #SUP: 1712
1 67 90 #SUP: 1640
1 76 85 #SUP: 1680
1 76 86 #SUP: 1680
1 85 86 #SUP: 3908
1 85 90 #SUP: 3808
1 85 94 #SUP: 1768
1 85 102 #SUP: 1812
1 85 110 #SUP: 2848
1 86 90 #SUP: 3800
1 86 94 #SUP: 1760
1 86 102 #SUP: 1804
1 86 110 #SUP: 2848
1 90 94 #SUP: 1768
1 90 102 #SUP: 1776
1 90 110 #SUP: 2776
1 94 102 #SUP: 1768
1 94 110 #SUP: 1760
1 102 110 #SUP: 1760
2 3 34 #SUP: 1900
2 3 39 #SUP: 1828
2 3 59 #SUP: 1696
2 3 85 #SUP: 1948
2 3 86 #SUP: 1900
2 3 90 #SUP: 1768
2 23 28 #SUP: 1952
2 23 34 #SUP: 2752
2 23 36 #SUP: 2656
2 23 39 #SUP: 2656
2 23 53 #SUP: 1824
2 23 56 #SUP: 1856
2 23 59 #SUP: 2752
2 23 63 #SUP: 2560
2 23 85 #SUP: 2752
2 23 86 #SUP: 2752
2 23 90 #SUP: 2528
2 23 93 #SUP: 2560
2 23 116 #SUP: 1824
2 28 34 #SUP: 3216
2 28 36 #SUP: 2304
2 28 39 #SUP: 3216
2 28 53 #SUP: 2496
2 28 56 #SUP: 1824
2 28 59 #SUP: 2840
2 28 63 #SUP: 2792
2 28 67 #SUP: 1952
2 28 76 #SUP: 1904
2 28 85 #SUP: 3408
2 28 86 #SUP: 3216
2 28 90 #SUP: 2880
2 28 93 #SUP: 2352
2 28 116 #SUP: 1784
2 34 36 #SUP: 2816
2 34 39 #SUP: 3728
2 34 53 #SUP: 2592
2 34 56 #SUP: 1920
2 34 59 #SUP: 3448
2 34 63 #SUP: 3208
2 34 67 #SUP: 2752
2 34 76 #SUP: 2704
2 34 85 #SUP: 4016
2 34 86 #SUP: 4016
2 34 90 #SUP: 3488
2 34 93 #SUP: 2960
2 34 98 #SUP: 1648
2 34 99 #SUP: 1696
2 34 116 #SUP: 1880
2 36 39 #SUP: 2864
2 36 53 #SUP: 1728
2 36 56 #SUP: 1776
2 36 59 #SUP: 2992
2 36 63 #SUP: 2752
2 36 85 #SUP: 3008
2 36 86 #SUP: 2816
2 36 90 #SUP: 2768
2 36 93 #SUP: 2768
2 36 116 #SUP: 1784
2 39 53 #SUP: 2496
2 39 56 #SUP: 1776
2 39 59 #SUP: 3376
2 39 63 #SUP: 3184
2 39 67 #SUP: 2464
2 39 76 #SUP: 2464
2 39 85 #SUP: 3920
2 39 86 #SUP: 3728
2 39 90 #SUP: 3392
2 39 93 #SUP: 2960
2 39 99 #SUP: 1648
2 39 116 #SUP: 1736
2 53 56 #SUP: 1824
2 53 59 #SUP: 2208
2 53 63 #SUP: 2208
2 53 85 #SUP: 2592
2 53 86 #SUP: 2592
2 53 90 #SUP: 2592
2 53 93 #SUP: 1824
2 53 116 #SUP: 1824
2 56 59 #SUP: 1880
2 56 63 #SUP: 1880
2 56 85 #SUP: 1920
2 56 86 #SUP: 1920
2 56 90 #SUP: 1872
2 56 93 #SUP: 1872
2 56 116 #SUP: 1832
2 59 63 #SUP: 3124
2 59 67 #SUP: 2200
2 59 76 #SUP: 2176
2 59 85 #SUP: 3640
2 59 86 #SUP: 3448
2 59 90 #SUP: 3272
2 59 93 #SUP: 2992
2 59 116 #SUP: 1872
2 63 67 #SUP: 1960
2 63 76 #SUP: 1936
2 63 85 #SUP: 3400
2 63 86 #SUP: 3208
2 63 90 #SUP: 3032
2 63 93 #SUP: 2800
2 63 116 #SUP: 1824
2 67 76 #SUP: 2272
2 67 85 #SUP: 2752
2 67 86 #SUP: 2752
2 67 90 #SUP: 2336
2 67 93 #SUP: 1792
2 76 85 #SUP: 2704
2 76 86 #SUP: 2704
2 76 90 #SUP: 2288
2 76 93 #SUP: 1792
2 85 86 #SUP: 4016
2 85 90 #SUP: 3680
2 85 93 #SUP: 3152
2 85 98 #SUP: 1648
2 85 99 #SUP: 1744
2 85 116 #SUP: 1880
2 86 90 #SUP: 3488
2 86 93 #SUP: 2960
2 86 98 #SUP: 1648
2 86 99 #SUP: 1696
2 86 116 #SUP: 1880
2 90 93 #SUP: 2816
2 90 98 #SUP: 1648
2 90 99 #SUP: 1744
2 90 116 #SUP: 1872
2 93 116 #SUP: 1832
3 24 34 #SUP: 1986
3 24 85 #SUP: 2040
3 24 86 #SUP: 1992
3 24 90 #SUP: 1928
3 34 36 #SUP: 2962
3 34 39 #SUP: 2578
3 34 53 #SUP: 2016
3 34 56 #SUP: 1932
3 34 59 #SUP: 2328
3 34 63 #SUP: 2208
3 34 67 #SUP: 2048
3 34 76 #SUP: 2024
3 34 85 #SUP: 3602
3 34 86 #SUP: 3602
3 34 90 #SUP: 3416
3 34 93 #SUP: 1876
3 34 110 #SUP: 1672
3 36 39 #SUP: 2152
3 36 56 #SUP: 1772
3 36 59 #SUP: 1984
3 36 63 #SUP: 1864
3 36 85 #SUP: 3016
3 36 86 #SUP: 2968
3 36 90 #SUP: 2920
3 36 93 #SUP: 1684
3 39 56 #SUP: 1676
3 39 59 #SUP: 1656
3 39 85 #SUP: 2632
3 39 86 #SUP: 2584
3 39 90 #SUP: 2440
3 52 85 #SUP: 1640
3 53 85 #SUP: 2016
3 53 86 #SUP: 2016
3 53 90 #SUP: 2016
3 56 85 #SUP: 1932
3 56 86 #SUP: 1932
3 56 90 #SUP: 1912
3 59 63 #SUP: 1952
3 59 85 #SUP: 2376
3 59 86 #SUP: 2328
3 59 90 #SUP: 2248
3 59 93 #SUP: 1800
3 63 85 #SUP: 2256
3 63 86 #SUP: 2208
3 63 90 #SUP: 2128
3 63 93 #SUP: 1704
3 67 76 #SUP: 1672
3 67 85 #SUP: 2048
3 67 86 #SUP: 2048
3 67 90 #SUP: 1904
3 76 85 #SUP: 2024
3 76 86 #SUP: 2024
3 76 90 #SUP: 1880
3 85 86 #SUP: 3608
3 85 90 #SUP: 3464
3 85 93 #SUP: 1924
3 85 110 #SUP: 1696
3 86 90 #SUP: 3416
3 86 93 #SUP: 1876
3 86 110 #SUP: 1672
3 90 93 #SUP: 1808
3 90 110 #SUP: 1688
6 24 34 #SUP: 1700
6 24 85 #SUP: 1754
6 24 86 #SUP: 1704
6 24 90 #SUP: 1738
6 34 36 #SUP: 2646
6 34 39 #SUP: 2262
6 34 53 #SUP: 2016
6 34 56 #SUP: 1778
6 34 59 #SUP: 1870
6 34 63 #SUP: 1750
6 34 85 #SUP: 3098
6 34 86 #SUP: 3096
6 34 90 #SUP: 2972
6 36 39 #SUP: 1932
6 36 56 #SUP: 1712
6 36 59 #SUP: 1668
6 36 85 #SUP: 2700
6 36 86 #SUP: 2652
6 36 90 #SUP: 2568
6 39 56 #SUP: 1712
6 39 85 #SUP: 2316
6 39 86 #SUP: 2268
6 39 90 #SUP: 2184
6 53 85 #SUP: 2016
6 53 86 #SUP: 2016
6 53 90 #SUP: 2016
6 56 85 #SUP: 1778
6 56 86 #SUP: 1778
6 56 90 #SUP: 1722
6 59 85 #SUP: 1918
6 59 86 #SUP: 1870
6 59 90 #SUP: 1802
6 63 85 #SUP: 1798
6 63 86 #SUP: 1750
6 63 90 #SUP: 1682
6 85 86 #SUP: 3102
6 85 90 #SUP: 3020
6 85 110 #SUP: 1636
6 86 90 #SUP: 2970
9 24 85 #SUP: 1688
9 34 36 #SUP: 1740
9 34 67 #SUP: 1876
9 34 76 #SUP: 1876
9 34 85 #SUP: 2364
9 34 86 #SUP: 2364
9 34 90 #SUP: 2064
9 36 85 #SUP: 1932
9 36 86 #SUP: 1740
9 36 90 #SUP: 1776
9 59 85 #SUP: 1708
9 63 85 #SUP: 1708
9 67 76 #SUP: 1636
9 67 85 #SUP: 1876
9 67 86 #SUP: 1876
9 67 90 #SUP: 1632
9 76 85 #SUP: 1876
9 76 86 #SUP: 1876
9 76 90 #SUP: 1632
9 85 86 #SUP: 2364
9 85 90 #SUP: 2256
9 86 90 #SUP: 2064
10 24 34 #SUP: 1634
10 24 85 #SUP: 1652
10 24 86 #SUP: 1644
10 34 36 #SUP: 3190
10 34 39 #SUP: 2134
10 34 53 #SUP: 1728
10 34 59 #SUP: 2084
10 34 63 #SUP: 1844
10 34 85 #SUP: 3226
10 34 86 #SUP: 3218
10 34 90 #SUP: 3052
10 34 110 #SUP: 1792
10 36 39 #SUP: 2152
10 36 53 #SUP: 1728
10 36 59 #SUP: 2068
10 36 63 #SUP: 1828
10 36 85 #SUP: 3208
10 36 86 #SUP: 3208
10 36 90 #SUP: 3016
10 36 110 #SUP: 1768
10 39 85 #SUP: 2152
10 39 86 #SUP: 2152
10 39 90 #SUP: 1960
10 53 85 #SUP: 1728
10 53 86 #SUP: 1728
10 53 90 #SUP: 1728
10 59 85 #SUP: 2084
10 59 86 #SUP: 2084
10 59 90 #SUP: 1936
10 63 85 #SUP: 1844
10 63 86 #SUP: 1844
10 63 90 #SUP: 1696
10 85 86 #SUP: 3236
10 85 90 #SUP: 3052
10 85 110 #SUP: 1792
10 86 90 #SUP: 3044
10 86 110 #SUP: 1792
10 90 110 #SUP: 1748
11 34 36 #SUP: 1672
11 34 39 #SUP: 2040
11 34 56 #SUP: 1680
11 34 85 #SUP: 2320
11 34 86 #SUP: 2320
11 34 90 #SUP: 2176
11 36 85 #SUP: 1672
11 36 86 #SUP: 1672
11 36 90 #SUP: 1672
11 39 85 #SUP: 2040
11 39 86 #SUP: 2040
11 39 90 #SUP: 1896
11 56 85 #SUP: 1680
11 56 86 #SUP: 1680
11 56 90 #SUP: 1680
11 85 86 #SUP: 2320
11 85 90 #SUP: 2176
11 86 90 #SUP: 2176
13 34 36 #SUP: 1806
13 34 53 #SUP: 1696
13 34 85 #SUP: 2086
13 34 86 #SUP: 2086
13 34 90 #SUP: 2008
13 36 85 #SUP: 2004
13 36 86 #SUP: 1812
13 36 90 #SUP: 1920
13 53 85 #SUP: 1696
13 53 86 #SUP: 1696
13 53 90 #SUP: 1696
13 59 85 #SUP: 1668
13 85 86 #SUP: 2092
13 85 90 #SUP: 2200
13 86 90 #SUP: 2008
16 34 39 #SUP: 1728
16 34 85 #SUP: 1840
16 34 86 #SUP: 1840
16 34 90 #SUP: 1688
16 39 85 #SUP: 1728
16 39 86 #SUP: 1728
16 85 86 #SUP: 1840
16 85 90 #SUP: 1688
16 86 90 #SUP: 1688
23 28 34 #SUP: 2032
23 28 36 #SUP: 2024
23 28 39 #SUP: 2024
23 28 53 #SUP: 1728
23 28 56 #SUP: 1840
23 28 59 #SUP: 2032
23 28 63 #SUP: 2032
23 28 85 #SUP: 2032
23 28 86 #SUP: 2032
23 28 90 #SUP: 1736
23 28 93 #SUP: 1840
23 28 116 #SUP: 1728
23 34 36 #SUP: 3272
23 34 39 #SUP: 3016
23 34 53 #SUP: 2112
23 34 56 #SUP: 2224
23 34 59 #SUP: 3232
23 34 63 #SUP: 3040
23 34 67 #SUP: 2128
23 34 76 #SUP: 2128
23 34 85 #SUP: 3376
23 34 86 #SUP: 3376
23 34 90 #SUP: 3080
23 34 93 #SUP: 3184
23 34 116 #SUP: 1824
23 36 39 #SUP: 3016
23 36 53 #SUP: 2016
23 36 56 #SUP: 2120
23 36 59 #SUP: 3128
23 36 63 #SUP: 2936
23 36 67 #SUP: 2024
23 36 76 #SUP: 2024
23 36 85 #SUP: 3272
23 36 86 #SUP: 3272
23 36 90 #SUP: 2976
23 36 93 #SUP: 3080
23 36 116 #SUP: 1728
23 39 53 #SUP: 2016
23 39 56 #SUP: 2120
23 39 59 #SUP: 2872
23 39 63 #SUP: 2680
23 39 67 #SUP: 1768
23 39 76 #SUP: 1768
23 39 85 #SUP: 3016
23 39 86 #SUP: 3016
23 39 90 #SUP: 2720
23 39 93 #SUP: 2824
23 39 116 #SUP: 1728
23 53 56 #SUP: 2112
23 53 59 #SUP: 1968
23 53 63 #SUP: 1968
23 53 85 #SUP: 2112
23 53 86 #SUP: 2112
23 53 90 #SUP: 2112
23 53 93 #SUP: 2112
23 53 116 #SUP: 1824
23 56 59 #SUP: 2080
23 56 63 #SUP: 2080
23 56 85 #SUP: 2224
23 56 86 #SUP: 2224
23 56 90 #SUP: 2120
23 56 93 #SUP: 2224
23 56 116 #SUP: 1824
23 59 63 #SUP: 2968
23 59 67 #SUP: 1984
23 59 76 #SUP: 1984
23 59 85 #SUP: 3232
23 59 86 #SUP: 3232
23 59 90 #SUP: 2936
23 59 93 #SUP: 3040
23 59 116 #SUP: 1824
23 63 67 #SUP: 1792
23 63 76 #SUP: 1792
23 63 85 #SUP: 3040
23 63 86 #SUP: 3040
23 63 90 #SUP: 2744
23 63 93 #SUP: 2848
23 63 116 #SUP: 1824
23 67 76 #SUP: 1696
23 67 85 #SUP: 2128
23 67 86 #SUP: 2128
23 67 90 #SUP: 1928
23 67 93 #SUP: 2032
23 76 85 #SUP: 2128
23 76 86 #SUP: 2128
23 76 90 #SUP: 1928
23 76 93 #SUP: 2032
23 85 86 #SUP: 3376
