1 #SUP: 3916
2 #SUP: 4208
3 #SUP: 3656
6 #SUP: 3152
7 #SUP: 828
9 #SUP: 2556
10 #SUP: 3244
11 #SUP: 2320
13 #SUP: 2284
14 #SUP: 1072
15 #SUP: 1040
16 #SUP: 1840
17 #SUP: 1500
23 #SUP: 3376
24 #SUP: 4748
28 #SUP: 3528
29 #SUP: 2160
34 #SUP: 7914
36 #SUP: 6812
37 #SUP: 1312
38 #SUP: 2512
39 #SUP: 5612
41 #SUP: 1048
43 #SUP: 1492
44 #SUP: 1202
48 #SUP: 1728
52 #SUP: 3516
53 #SUP: 4608
54 #SUP: 1120
56 #SUP: 3776
58 #SUP: 2480
59 #SUP: 5176
61 #SUP: 2372
63 #SUP: 4936
66 #SUP: 2304
67 #SUP: 4464
69 #SUP: 1872
76 #SUP: 4384
77 #SUP: 1872
85 #SUP: 8124
86 #SUP: 7924
90 #SUP: 7488
93 #SUP: 3968
94 #SUP: 2776
95 #SUP: 1296
98 #SUP: 1872
99 #SUP: 1968
101 #SUP: 1632
102 #SUP: 2388
107 #SUP: 1248
110 #SUP: 4040
111 #SUP: 1712
114 #SUP: 2148
116 #SUP: 3148
117 #SUP: 1144
119 #SUP: 832
36 102 #SUP: 2036
36 110 #SUP: 3848
36 111 #SUP: 1712
36 114 #SUP: 1092
36 116 #SUP: 2956
36 117 #SUP: 1144
37 39 #SUP: 1056
37 53 #SUP: 864
37 67 #SUP: 1304
37 76 #SUP: 1256
37 85 #SUP: 1312
37 86 #SUP: 1304
37 90 #SUP: 1024
37 94 #SUP: 824
37 114 #SUP: 1056
38 48 #SUP: 1728
38 53 #SUP: 1824
38 58 #SUP: 1808
38 59 #SUP: 1584
38 61 #SUP: 896
38 63 #SUP: 1536
38 66 #SUP: 864
38 67 #SUP: 1640
38 69 #SUP: 864
38 76 #SUP: 1560
38 77 #SUP: 864
38 85 #SUP: 2512
38 86 #SUP: 2504
38 90 #SUP: 2512
38 94 #SUP: 1816
38 102 #SUP: 1824
38 110 #SUP: 2200
38 116 #SUP: 944
39 41 #SUP: 880
39 43 #SUP: 1312
39 44 #SUP: 1002
39 52 #SUP: 2828
39 53 #SUP: 2784
39 56 #SUP: 3432
39 59 #SUP: 3592
39 61 #SUP: 1476
39 63 #SUP: 3400
39 66 #SUP: 1440
39 67 #SUP: 2824
39 69 #SUP: 1008
39 76 #SUP: 2824
39 77 #SUP: 1008
39 85 #SUP: 5612
39 86 #SUP: 5420
39 90 #SUP: 4976
39 93 #SUP: 3320
39 94 #SUP: 960
39 95 #SUP: 1296
39 98 #SUP: 1600
39 99 #SUP: 1648
39 101 #SUP: 1584
39 107 #SUP: 1024
39 110 #SUP: 1840
39 111 #SUP: 1640
39 114 #SUP: 2020
39 116 #SUP: 2204
41 59 #SUP: 952
41 63 #SUP: 888
41 85 #SUP: 1048
41 86 #SUP: 984
41 90 #SUP: 1048
41 93 #SUP: 856
43 56 #SUP: 1040
43 59 #SUP: 868
43 85 #SUP: 1492
43 86 #SUP: 1492
43 90 #SUP: 1396
43 93 #SUP: 856
44 59 #SUP: 1012
44 63 #SUP: 936
44 67 #SUP: 828
44 85 #SUP: 1202
44 86 #SUP: 1198
44 90 #SUP: 920
44 93 #SUP: 992
48 53 #SUP: 1728
48 58 #SUP: 1728
48 59 #SUP: 864
48 61 #SUP: 864
48 63 #SUP: 864
48 66 #SUP: 864
48 67 #SUP: 864
48 69 #SUP: 864
48 76 #SUP: 864
48 77 #SUP: 864
48 85 #SUP: 1728
48 86 #SUP: 1728
48 90 #SUP: 1728
48 94 #SUP: 1728
48 102 #SUP: 1728
48 110 #SUP: 1728
52 56 #SUP: 1664
52 59 #SUP: 1960
52 61 #SUP: 1508
52 63 #SUP: 1720
52 66 #SUP: 1440
52 67 #SUP: 1872
52 76 #SUP: 1792
52 85 #SUP: 3516
52 86 #SUP: 3316
52 90 #SUP: 2880
52 93 #SUP: 1856
52 95 #SUP: 1296
52 101 #SUP: 1344
52 110 #SUP: 1208
52 111 #SUP: 848
52 114 #SUP: 1236
53 56 #SUP: 2112
53 58 #SUP: 1728
53 59 #SUP: 3216
53 61 #SUP: 864
53 63 #SUP: 3216
53 66 #SUP: 864
53 67 #SUP: 2592
53 69 #SUP: 1440
53 76 #SUP: 2592
53 77 #SUP: 1440
53 85 #SUP: 4608
53 86 #SUP: 4608
53 90 #SUP: 4608
53 93 #SUP: 2112
53 94 #SUP: 2496
53 98 #SUP: 1248
53 99 #SUP: 1296
53 102 #SUP: 1728
53 110 #SUP: 2832
53 111 #SUP: 864
53 114 #SUP: 912
53 116 #SUP: 2400
54 67 #SUP: 1120
54 76 #SUP: 1120
54 85 #SUP: 1120
54 86 #SUP: 1120
54 90 #SUP: 1120
54 114 #SUP: 896
56 59 #SUP: 2296
56 61 #SUP: 1296
56 63 #SUP: 2296
56 66 #SUP: 1296
56 67 #SUP: 1312
56 69 #SUP: 1008
56 76 #SUP: 1264
56 77 #SUP: 1008
56 85 #SUP: 3776
56 86 #SUP: 3776
56 90 #SUP: 3656
56 93 #SUP: 2432
56 95 #SUP: 1296
56 98 #SUP: 960
56 99 #SUP: 1008
56 101 #SUP: 1584
56 110 #SUP: 1984
56 111 #SUP: 1544
56 116 #SUP: 2456
58 59 #SUP: 1440
58 61 #SUP: 1040
58 63 #SUP: 1392
58 66 #SUP: 1008
58 67 #SUP: 1328
58 69 #SUP: 864
58 76 #SUP: 1296
58 77 #SUP: 864
58 85 #SUP: 2480
58 86 #SUP: 2288
58 90 #SUP: 2000
58 94 #SUP: 1952
58 102 #SUP: 2240
58 110 #SUP: 1880
59 63 #SUP: 4156
59 67 #SUP: 3304
59 69 #SUP: 1008
59 76 #SUP: 3280
59 77 #SUP: 1008
59 85 #SUP: 5176
59 86 #SUP: 4984
59 90 #SUP: 4736
59 93 #SUP: 3664
59 94 #SUP: 1464
59 98 #SUP: 1680
59 99 #SUP: 1776
59 102 #SUP: 1264
59 107 #SUP: 912
59 110 #SUP: 2400
59 111 #SUP: 1048
59 114 #SUP: 1116
59 116 #SUP: 2352
61 66 #SUP: 1800
61 69 #SUP: 864
61 77 #SUP: 864
61 85 #SUP: 2372
61 86 #SUP: 2372
61 90 #SUP: 2192
61 94 #SUP: 896
61 95 #SUP: 1296
61 101 #SUP: 1296
61 102 #SUP: 1076
61 110 #SUP: 1544
63 67 #SUP: 3064
63 69 #SUP: 1008
63 76 #SUP: 3040
63 77 #SUP: 1008
63 85 #SUP: 4936
63 86 #SUP: 4744
63 90 #SUP: 4496
63 93 #SUP: 3472
63 94 #SUP: 1464
63 98 #SUP: 1584
63 99 #SUP: 1680
63 102 #SUP: 1264
63 107 #SUP: 816
63 110 #SUP: 2376
63 111 #SUP: 928
63 114 #SUP: 1020
63 116 #SUP: 2304
66 69 #SUP: 864
66 77 #SUP: 864
66 85 #SUP: 2304
66 86 #SUP: 2304
66 90 #SUP: 2160
66 94 #SUP: 864
66 95 #SUP: 1296
66 101 #SUP: 1296
66 102 #SUP: 1008
66 110 #SUP: 1512
67 76 #SUP: 3520
67 85 #SUP: 4464
67 86 #SUP: 4464
67 90 #SUP: 3976
67 93 #SUP: 2608
67 94 #SUP: 1808
67 98 #SUP: 1296
67 99 #SUP: 1344
67 102 #SUP: 1368
67 107 #SUP: 1248
67 110 #SUP: 1856
67 114 #SUP: 1716
67 116 #SUP: 1232
69 85 #SUP: 1872
69 86 #SUP: 1872
69 90 #SUP: 1872
69 94 #SUP: 864
69 102 #SUP: 864
69 110 #SUP: 1368
69 116 #SUP: 1008
76 85 #SUP: 4384
76 86 #SUP: 4384
76 90 #SUP: 3896
76 93 #SUP: 2608
76 94 #SUP: 1728
76 98 #SUP: 1296
76 99 #SUP: 1344
76 102 #SUP: 1288
76 107 #SUP: 1248
76 110 #SUP: 1776
76 114 #SUP: 1716
76 116 #SUP: 1200
77 85 #SUP: 1872
77 86 #SUP: 1872
77 90 #SUP: 1872
77 94 #SUP: 864
77 102 #SUP: 864
77 110 #SUP: 1368
77 116 #SUP: 1008
85 86 #SUP: 7924
85 90 #SUP: 7488
85 93 #SUP: 3968
85 94 #SUP: 2776
85 95 #SUP: 1296
85 98 #SUP: 1872
85 99 #SUP: 1968
85 101 #SUP: 1632
85 102 #SUP: 2388
85 107 #SUP: 1248
85 110 #SUP: 4040
85 111 #SUP: 1712
85 114 #SUP: 2148
85 116 #SUP: 3148
85 117 #SUP: 1144
85 119 #SUP: 832
86 90 #SUP: 7288
86 93 #SUP: 3776
86 94 #SUP: 2768
86 95 #SUP: 1296
86 98 #SUP: 1872
86 99 #SUP: 1920
86 101 #SUP: 1632
86 102 #SUP: 2380
86 107 #SUP: 1248
86 110 #SUP: 3944
86 111 #SUP: 1712
86 114 #SUP: 2148
86 116 #SUP: 3148
86 117 #SUP: 1144
90 93 #SUP: 3560
90 94 #SUP: 2584
90 95 #SUP: 1296
90 98 #SUP: 1872
90 99 #SUP: 1968
90 101 #SUP: 1632
90 102 #SUP: 1824
90 107 #SUP: 1104
90 110 #SUP: 3952
90 111 #SUP: 1680
90 114 #SUP: 1824
90 116 #SUP: 3104
90 117 #SUP: 1104
90 119 #SUP: 832
93 98 #SUP: 1488
93 99 #SUP: 1584
93 107 #SUP: 864
93 110 #SUP: 1560
93 111 #SUP: 1040
93 114 #SUP: 948
93 116 #SUP: 2024
94 102 #SUP: 2008
94 110 #SUP: 1808
95 101 #SUP: 1296
98 116 #SUP: 960
99 116 #SUP: 1008
101 110 #SUP: 816
102 110 #SUP: 1824
107 114 #SUP: 840
110 116 #SUP: 1904
111 116 #SUP: 1112
1 3 24 #SUP: 1436
1 3 29 #SUP: 984
1 3 34 #SUP: 1702
1 3 36 #SUP: 1612
1 3 38 #SUP: 904
1 3 52 #SUP: 988
1 3 56 #SUP: 984
1 3 61 #SUP: 956
1 3 66 #SUP: 936
1 3 85 #SUP: 1708
1 3 86 #SUP: 1708
1 3 90 #SUP: 1696
1 3 110 #SUP: 1140
1 6 24 #SUP: 1246
1 6 29 #SUP: 984
1 6 34 #SUP: 1550
1 6 36 #SUP: 1552
1 6 39 #SUP: 840
1 6 52 #SUP: 836
1 6 56 #SUP: 830
1 6 61 #SUP: 956
1 6 66 #SUP: 936
1 6 85 #SUP: 1556
1 6 86 #SUP: 1554
1 6 90 #SUP: 1508
1 6 110 #SUP: 1080
1 9 24 #SUP: 960
1 9 34 #SUP: 1412
1 9 36 #SUP: 1364
1 9 38 #SUP: 1088
1 9 48 #SUP: 864
1 9 53 #SUP: 1152
1 9 58 #SUP: 864
1 9 59 #SUP: 836
1 9 63 #SUP: 836
1 9 67 #SUP: 980
1 9 76 #SUP: 980
1 9 85 #SUP: 1412
1 9 86 #SUP: 1412
1 9 90 #SUP: 1376
1 9 94 #SUP: 864
1 9 102 #SUP: 864
1 9 110 #SUP: 1156
1 10 24 #SUP: 1572
1 10 29 #SUP: 936
1 10 34 #SUP: 1722
1 10 36 #SUP: 1728
1 10 38 #SUP: 1020
1 10 48 #SUP: 864
1 10 52 #SUP: 876
1 10 53 #SUP: 864
1 10 58 #SUP: 880
1 10 61 #SUP: 1132
1 10 66 #SUP: 1080
1 10 85 #SUP: 1740
1 10 86 #SUP: 1732
1 10 90 #SUP: 1668
1 10 94 #SUP: 888
1 10 102 #SUP: 928
1 10 110 #SUP: 1304
1 13 24 #SUP: 892
1 13 34 #SUP: 1014
1 13 36 #SUP: 1020
1 13 38 #SUP: 1008
1 13 48 #SUP: 864
1 13 53 #SUP: 864
1 13 58 #SUP: 880
1 13 85 #SUP: 1020
1 13 86 #SUP: 1020
1 13 90 #SUP: 1008
1 13 94 #SUP: 880
1 13 102 #SUP: 892
1 13 110 #SUP: 944
1 17 24 #SUP: 876
1 17 34 #SUP: 870
1 17 36 #SUP: 876
1 17 38 #SUP: 864
1 17 48 #SUP: 864
1 17 53 #SUP: 864
1 17 58 #SUP: 864
1 17 85 #SUP: 876
1 17 86 #SUP: 876
1 17 90 #SUP: 864
1 17 94 #SUP: 864
1 17 102 #SUP: 876
1 17 110 #SUP: 864
1 24 29 #SUP: 1872
1 24 34 #SUP: 3274
1 24 36 #SUP: 3188
1 24 38 #SUP: 1960
1 24 39 #SUP: 1332
1 24 48 #SUP: 1728
1 24 52 #SUP: 1564
1 24 53 #SUP: 1728
1 24 56 #SUP: 1488
1 24 58 #SUP: 1760
1 24 59 #SUP: 1056
1 24 61 #SUP: 2228
1 24 63 #SUP: 1056
1 24 66 #SUP: 2160
1 24 67 #SUP: 1088
1 24 69 #SUP: 1296
1 24 76 #SUP: 1056
1 24 77 #SUP: 1296
1 24 85 #SUP: 3292
1 24 86 #SUP: 3284
1 24 90 #SUP: 3256
1 24 94 #SUP: 1768
1 24 95 #SUP: 1296
1 24 101 #SUP: 1296
1 24 102 #SUP: 1804
1 24 110 #SUP: 2504
1 24 116 #SUP: 1268
1 24 117 #SUP: 1008
1 29 34 #SUP: 2160
1 29 36 #SUP: 2160
1 29 39 #SUP: 1584
1 29 52 #SUP: 1296
1 29 53 #SUP: 864
1 29 56 #SUP: 1584
1 29 61 #SUP: 1584
1 29 66 #SUP: 1584
1 29 85 #SUP: 2160
1 29 86 #SUP: 2160
1 29 90 #SUP: 2160
1 29 95 #SUP: 1296
1 29 101 #SUP: 1584
1 29 110 #SUP: 1368
1 34 36 #SUP: 3786
1 34 38 #SUP: 2224
1 34 39 #SUP: 1674
1 34 48 #SUP: 1728
1 34 52 #SUP: 1882
1 34 53 #SUP: 2016
1 34 56 #SUP: 1856
1 34 58 #SUP: 1760
1 34 59 #SUP: 1536
1 34 61 #SUP: 2210
1 34 63 #SUP: 1536
1 34 66 #SUP: 2160
1 34 67 #SUP: 1712
1 34 69 #SUP: 1296
1 34 76 #SUP: 1680
1 34 77 #SUP: 1296
1 34 85 #SUP: 3898
1 34 86 #SUP: 3890
1 34 90 #SUP: 3808
1 34 93 #SUP: 816
1 34 94 #SUP: 1768
1 34 95 #SUP: 1296
1 34 101 #SUP: 1584
1 34 102 #SUP: 1794
1 34 110 #SUP: 2848
1 34 116 #SUP: 1250
1 34 117 #SUP: 1008
1 36 38 #SUP: 2112
1 36 39 #SUP: 1692
1 36 48 #SUP: 1728
1 36 52 #SUP: 1788
1 36 53 #SUP: 2016
1 36 56 #SUP: 1752
1 36 58 #SUP: 1760
1 36 59 #SUP: 1432
1 36 61 #SUP: 2228
1 36 63 #SUP: 1432
1 36 66 #SUP: 2160
1 36 67 #SUP: 1608
1 36 69 #SUP: 1296
1 36 76 #SUP: 1576
1 36 77 #SUP: 1296
1 36 85 #SUP: 3804
1 36 86 #SUP: 3804
1 36 90 #SUP: 3696
1 36 94 #SUP: 1760
1 36 95 #SUP: 1296
1 36 101 #SUP: 1584
1 36 102 #SUP: 1796
1 36 110 #SUP: 2800
1 36 116 #SUP: 1172
1 36 117 #SUP: 1008
1 38 48 #SUP: 1728
1 38 53 #SUP: 1728
1 38 58 #SUP: 1760
1 38 59 #SUP: 1320
1 38 61 #SUP: 896
1 38 63 #SUP: 1320
1 38 66 #SUP: 864
1 38 67 #SUP: 1352
1 38 69 #SUP: 864
1 38 76 #SUP: 1320
1 38 77 #SUP: 864
1 38 85 #SUP: 2224
1 38 86 #SUP: 2216
1 38 90 #SUP: 2224
1 38 94 #SUP: 1768
1 38 102 #SUP: 1776
1 38 110 #SUP: 1984
1 39 52 #SUP: 1404
1 39 56 #SUP: 1656
1 39 61 #SUP: 1332
1 39 66 #SUP: 1296
