1 #SUP: 3916
2 #SUP: 4208
3 #SUP: 3656
6 #SUP: 3152
9 #SUP: 2556
10 #SUP: 3244
23 #SUP: 3376
24 #SUP: 4748
28 #SUP: 3528
34 #SUP: 7914
36 #SUP: 6812
38 #SUP: 2512
39 #SUP: 5612
52 #SUP: 3516
53 #SUP: 4608
56 #SUP: 3776
58 #SUP: 2480
59 #SUP: 5176
63 #SUP: 4936
67 #SUP: 4464
76 #SUP: 4384
85 #SUP: 8124
86 #SUP: 7924
90 #SUP: 7488
93 #SUP: 3968
94 #SUP: 2776
110 #SUP: 4040
116 #SUP: 3148
39 76 #SUP: 2824
39 85 #SUP: 5612
39 86 #SUP: 5420
39 90 #SUP: 4976
39 93 #SUP: 3320
52 85 #SUP: 3516
52 86 #SUP: 3316
52 90 #SUP: 2880
53 59 #SUP: 3216
53 63 #SUP: 3216
53 67 #SUP: 2592
53 76 #SUP: 2592
53 85 #SUP: 4608
53 86 #SUP: 4608
53 90 #SUP: 4608
53 94 #SUP: 2496
53 110 #SUP: 2832
56 85 #SUP: 3776
56 86 #SUP: 3776
56 90 #SUP: 3656
56 116 #SUP: 2456
58 85 #SUP: 2480
59 63 #SUP: 4156
59 67 #SUP: 3304
59 76 #SUP: 3280
59 85 #SUP: 5176
59 86 #SUP: 4984
59 90 #SUP: 4736
59 93 #SUP: 3664
63 67 #SUP: 3064
63 76 #SUP: 3040
63 85 #SUP: 4936
63 86 #SUP: 4744
63 90 #SUP: 4496
63 93 #SUP: 3472
67 76 #SUP: 3520
67 85 #SUP: 4464
67 86 #SUP: 4464
67 90 #SUP: 3976
67 93 #SUP: 2608
76 85 #SUP: 4384
76 86 #SUP: 4384
76 90 #SUP: 3896
76 93 #SUP: 2608
85 86 #SUP: 7924
85 90 #SUP: 7488
85 93 #SUP: 3968
85 94 #SUP: 2776
85 110 #SUP: 4040
85 116 #SUP: 3148
86 90 #SUP: 7288
86 93 #SUP: 3776
86 94 #SUP: 2768
86 110 #SUP: 3944
86 116 #SUP: 3148
90 93 #SUP: 3560
90 94 #SUP: 2584
90 110 #SUP: 3952
90 116 #SUP: 3104
1 24 34 #SUP: 3274
1 24 36 #SUP: 3188
1 24 85 #SUP: 3292
1 24 86 #SUP: 3284
1 24 90 #SUP: 3256
1 24 110 #SUP: 2504
1 34 36 #SUP: 3786
1 34 85 #SUP: 3898
1 34 86 #SUP: 3890
1 34 90 #SUP: 3808
1 34 110 #SUP: 2848
1 36 85 #SUP: 3804
1 36 86 #SUP: 3804
1 36 90 #SUP: 3696
1 36 110 #SUP: 2800
1 85 86 #SUP: 3908
1 85 90 #SUP: 3808
1 85 110 #SUP: 2848
1 86 90 #SUP: 3800
1 86 110 #SUP: 2848
1 90 110 #SUP: 2776
2 23 34 #SUP: 2752
2 23 36 #SUP: 2656
2 23 39 #SUP: 2656
2 23 59 #SUP: 2752
2 23 63 #SUP: 2560
2 23 85 #SUP: 2752
2 23 86 #SUP: 2752
2 23 90 #SUP: 2528
2 23 93 #SUP: 2560
2 28 34 #SUP: 3216
2 28 39 #SUP: 3216
2 28 53 #SUP: 2496
2 28 59 #SUP: 2840
2 28 63 #SUP: 2792
2 28 85 #SUP: 3408
2 28 86 #SUP: 3216
2 28 90 #SUP: 2880
2 34 36 #SUP: 2816
2 34 39 #SUP: 3728
2 34 53 #SUP: 2592
2 34 59 #SUP: 3448
2 34 63 #SUP: 3208
2 34 67 #SUP: 2752
2 34 76 #SUP: 2704
2 34 85 #SUP: 4016
2 34 86 #SUP: 4016
2 34 90 #SUP: 3488
2 34 93 #SUP: 2960
2 36 39 #SUP: 2864
2 36 59 #SUP: 2992
2 36 63 #SUP: 2752
2 36 85 #SUP: 3008
2 36 86 #SUP: 2816
2 36 90 #SUP: 2768
2 36 93 #SUP: 2768
2 39 53 #SUP: 2496
2 39 59 #SUP: 3376
2 39 63 #SUP: 3184
2 39 67 #SUP: 2464
2 39 76 #SUP: 2464
2 39 85 #SUP: 3920
2 39 86 #SUP: 3728
2 39 90 #SUP: 3392
2 39 93 #SUP: 2960
2 53 85 #SUP: 2592
2 53 86 #SUP: 2592
2 53 90 #SUP: 2592
2 59 63 #SUP: 3124
2 59 85 #SUP: 3640
2 59 86 #SUP: 3448
2 59 90 #SUP: 3272
2 59 93 #SUP: 2992
2 63 85 #SUP: 3400
2 63 86 #SUP: 3208
2 63 90 #SUP: 3032
2 63 93 #SUP: 2800
2 67 85 #SUP: 2752
2 67 86 #SUP: 2752
2 76 85 #SUP: 2704
2 76 86 #SUP: 2704
2 85 86 #SUP: 4016
2 85 90 #SUP: 3680
2 85 93 #SUP: 3152
2 86 90 #SUP: 3488
2 86 93 #SUP: 2960
2 90 93 #SUP: 2816
3 34 36 #SUP: 2962
3 34 39 #SUP: 2578
3 34 85 #SUP: 3602
3 34 86 #SUP: 3602
3 34 90 #SUP: 3416
3 36 85 #SUP: 3016
3 36 86 #SUP: 2968
3 36 90 #SUP: 2920
3 39 85 #SUP: 2632
3 39 86 #SUP: 2584
3 39 90 #SUP: 2440
3 85 86 #SUP: 3608
3 85 90 #SUP: 3464
3 86 90 #SUP: 3416
6 34 36 #SUP: 2646
6 34 85 #SUP: 3098
6 34 86 #SUP: 3096
6 34 90 #SUP: 2972
6 36 85 #SUP: 2700
6 36 86 #SUP: 2652
6 36 90 #SUP: 2568
6 85 86 #SUP: 3102
6 85 90 #SUP: 3020
6 86 90 #SUP: 2970
10 34 36 #SUP: 3190
10 34 85 #SUP: 3226
10 34 86 #SUP: 3218
10 34 90 #SUP: 3052
10 36 85 #SUP: 3208
10 36 86 #SUP: 3208
10 36 90 #SUP: 3016
10 85 86 #SUP: 3236
10 85 90 #SUP: 3052
10 86 90 #SUP: 3044
23 34 36 #SUP: 3272
23 34 39 #SUP: 3016
23 34 59 #SUP: 3232
23 34 63 #SUP: 3040
23 34 85 #SUP: 3376
23 34 86 #SUP: 3376
23 34 90 #SUP: 3080
23 34 93 #SUP: 3184
23 36 39 #SUP: 3016
23 36 59 #SUP: 3128
23 36 63 #SUP: 2936
23 36 85 #SUP: 3272
23 36 86 #SUP: 3272
23 36 90 #SUP: 2976
23 36 93 #SUP: 3080
23 39 59 #SUP: 2872
23 39 63 #SUP: 2680
23 39 85 #SUP: 3016
23 39 86 #SUP: 3016
23 39 90 #SUP: 2720
23 39 93 #SUP: 2824
23 59 63 #SUP: 2968
23 59 85 #SUP: 3232
23 59 86 #SUP: 3232
23 59 90 #SUP: 2936
23 59 93 #SUP: 3040
23 63 85 #SUP: 3040
23 63 86 #SUP: 3040
23 63 90 #SUP: 2744
23 63 93 #SUP: 2848
23 85 86 #SUP: 3376
23 85 90 #SUP: 3080
23 85 93 #SUP: 3184
23 86 90 #SUP: 3080
23 86 93 #SUP: 3184
23 90 93 #SUP: 3080
24 34 36 #SUP: 3330
24 34 53 #SUP: 2496
24 34 85 #SUP: 4538
24 34 86 #SUP: 4530
24 34 90 #SUP: 4216
24 34 94 #SUP: 2584
24 34 110 #SUP: 2624
24 36 85 #SUP: 3540
24 36 86 #SUP: 3348
24 36 90 #SUP: 3488
24 36 110 #SUP: 2624
24 39 85 #SUP: 2596
24 53 85 #SUP: 2496
24 53 86 #SUP: 2496
24 53 90 #SUP: 2496
24 53 94 #SUP: 2496
24 85 86 #SUP: 4548
24 85 90 #SUP: 4408
24 85 94 #SUP: 2584
24 85 110 #SUP: 2720
24 86 90 #SUP: 4208
24 86 94 #SUP: 2576
24 86 110 #SUP: 2624
24 90 94 #SUP: 2584
24 90 110 #SUP: 2720
28 34 39 #SUP: 3096
28 34 53 #SUP: 2496
28 34 59 #SUP: 2728
28 34 63 #SUP: 2680
28 34 85 #SUP: 3336
28 34 86 #SUP: 3328
28 34 90 #SUP: 2736
28 39 53 #SUP: 2496
28 39 59 #SUP: 2744
28 39 63 #SUP: 2744
28 39 85 #SUP: 3288
28 39 86 #SUP: 3096
28 39 90 #SUP: 2688
28 53 85 #SUP: 2496
28 53 86 #SUP: 2496
28 53 90 #SUP: 2496
28 59 63 #SUP: 2596
28 59 85 #SUP: 2920
28 59 86 #SUP: 2728
28 59 90 #SUP: 2480
28 63 85 #SUP: 2872
28 63 86 #SUP: 2680
28 85 86 #SUP: 3328
28 85 90 #SUP: 2928
28 86 90 #SUP: 2728
34 36 39 #SUP: 4346
34 36 52 #SUP: 2858
34 36 53 #SUP: 3744
34 36 56 #SUP: 3528
34 36 59 #SUP: 4232
34 36 63 #SUP: 3992
34 36 67 #SUP: 3160
34 36 76 #SUP: 3128
34 36 85 #SUP: 6602
34 36 86 #SUP: 6602
34 36 90 #SUP: 6272
34 36 93 #SUP: 3288
34 36 110 #SUP: 3752
34 36 116 #SUP: 2938
34 38 85 #SUP: 2512
34 38 86 #SUP: 2504
34 38 90 #SUP: 2512
34 39 52 #SUP: 2618
34 39 53 #SUP: 2784
34 39 56 #SUP: 3432
34 39 59 #SUP: 3400
34 39 63 #SUP: 3208
34 39 67 #SUP: 2824
34 39 76 #SUP: 2824
34 39 85 #SUP: 5402
34 39 86 #SUP: 5402
34 39 90 #SUP: 4784
34 39 93 #SUP: 3128
34 52 85 #SUP: 3306
34 52 86 #SUP: 3298
34 52 90 #SUP: 2688
34 53 59 #SUP: 3216
34 53 63 #SUP: 3216
34 53 67 #SUP: 2592
34 53 76 #SUP: 2592
34 53 85 #SUP: 4608
34 53 86 #SUP: 4608
34 53 90 #SUP: 4608
34 53 94 #SUP: 2496
34 53 110 #SUP: 2832
34 56 85 #SUP: 3776
34 56 86 #SUP: 3776
34 56 90 #SUP: 3656
34 56 116 #SUP: 2456
34 59 63 #SUP: 3964
34 59 67 #SUP: 3304
34 59 76 #SUP: 3280
34 59 85 #SUP: 4984
34 59 86 #SUP: 4984
34 59 90 #SUP: 4544
34 59 93 #SUP: 3472
34 63 67 #SUP: 3064
34 63 76 #SUP: 3040
34 63 85 #SUP: 4744
34 63 86 #SUP: 4744
34 63 90 #SUP: 4304
34 63 93 #SUP: 3280
34 67 76 #SUP: 3520
34 67 85 #SUP: 4464
34 67 86 #SUP: 4464
34 67 90 #SUP: 3976
34 67 93 #SUP: 2608
34 76 85 #SUP: 4384
34 76 86 #SUP: 4384
34 76 90 #SUP: 3896
34 76 93 #SUP: 2608
34 85 86 #SUP: 7906
34 85 90 #SUP: 7296
34 85 93 #SUP: 3776
34 85 94 #SUP: 2776
34 85 110 #SUP: 3944
34 85 116 #SUP: 3130
34 86 90 #SUP: 7288
34 86 93 #SUP: 3776
34 86 94 #SUP: 2768
34 86 110 #SUP: 3944
34 86 116 #SUP: 3130
34 90 93 #SUP: 3368
34 90 94 #SUP: 2584
34 90 110 #SUP: 3856
34 90 116 #SUP: 3104
36 39 52 #SUP: 2540
36 39 56 #SUP: 3432
36 39 59 #SUP: 3064
36 39 63 #SUP: 2872
36 39 85 #SUP: 4556
36 39 86 #SUP: 4364
36 39 90 #SUP: 4208
36 39 93 #SUP: 3032
36 52 85 #SUP: 3068
36 52 86 #SUP: 2876
36 52 90 #SUP: 2720
36 53 59 #SUP: 2736
36 53 63 #SUP: 2736
36 53 85 #SUP: 3744
36 53 86 #SUP: 3744
36 53 90 #SUP: 3744
36 53 110 #SUP: 2736
36 56 85 #SUP: 3528
36 56 86 #SUP: 3528
36 56 90 #SUP: 3408
36 59 63 #SUP: 3680
36 59 67 #SUP: 2552
36 59 76 #SUP: 2552
36 59 85 #SUP: 4424
36 59 86 #SUP: 4232
36 59 90 #SUP: 4128
36 59 93 #SUP: 3320
36 63 85 #SUP: 4184
36 63 86 #SUP: 3992
36 63 90 #SUP: 3888
36 63 93 #SUP: 3128
36 67 85 #SUP: 3160
36 67 86 #SUP: 3160
36 67 90 #SUP: 2960
36 76 85 #SUP: 3128
36 76 86 #SUP: 3128
36 76 90 #SUP: 2928
36 85 86 #SUP: 6620
36 85 90 #SUP: 6464
36 85 93 #SUP: 3480
36 85 110 #SUP: 3848
36 85 116 #SUP: 2956
36 86 90 #SUP: 6272
36 86 93 #SUP: 3288
36 86 110 #SUP: 3752
36 86 116 #SUP: 2956
36 90 93 #SUP: 3360
36 90 110 #SUP: 3760
36 90 116 #SUP: 2912
38 85 86 #SUP: 2504
38 85 90 #SUP: 2512
38 86 90 #SUP: 2504
39 52 85 #SUP: 2828
39 52 86 #SUP: 2636
39 53 85 #SUP: 2784
39 53 86 #SUP: 2784
39 53 90 #SUP: 2784
39 56 85 #SUP: 3432
39 56 86 #SUP: 3432
39 56 90 #SUP: 3312
39 59 63 #SUP: 3064
39 59 85 #SUP: 3592
39 59 86 #SUP: 3400
39 59 90 #SUP: 3152
39 59 93 #SUP: 3016
39 63 85 #SUP: 3400
39 63 86 #SUP: 3208
39 63 90 #SUP: 2960
39 63 93 #SUP: 2824
39 67 85 #SUP: 2824
39 67 86 #SUP: 2824
39 76 85 #SUP: 2824
39 76 86 #SUP: 2824
39 85 86 #SUP: 5420
39 85 90 #SUP: 4976
39 85 93 #SUP: 3320
39 86 90 #SUP: 4784
39 86 93 #SUP: 3128
39 90 93 #SUP: 2912
52 85 86 #SUP: 3316
52 85 90 #SUP: 2880
52 86 90 #SUP: 2680
53 59 63 #SUP: 2520
53 59 85 #SUP: 3216
53 59 86 #SUP: 3216
53 59 90 #SUP: 3216
53 63 85 #SUP: 3216
53 63 86 #SUP: 3216
53 63 90 #SUP: 3216
53 67 85 #SUP: 2592
53 67 86 #SUP: 2592
53 67 90 #SUP: 2592
53 76 85 #SUP: 2592
53 76 86 #SUP: 2592
53 76 90 #SUP: 2592
53 85 86 #SUP: 4608
53 85 90 #SUP: 4608
53 85 94 #SUP: 2496
53 85 110 #SUP: 2832
53 86 90 #SUP: 4608
53 86 94 #SUP: 2496
53 86 110 #SUP: 2832
53 90 94 #SUP: 2496
53 90 110 #SUP: 2832
56 85 86 #SUP: 3776
56 85 90 #SUP: 3656
56 85 116 #SUP: 2456
56 86 90 #SUP: 3656
56 86 116 #SUP: 2456
56 90 116 #SUP: 2448
59 63 67 #SUP: 2500
59 63 76 #SUP: 2488
59 63 85 #SUP: 4156
59 63 86 #SUP: 3964
59 63 90 #SUP: 3788
59 63 93 #SUP: 3328
59 67 76 #SUP: 2632
59 67 85 #SUP: 3304
59 67 86 #SUP: 3304
59 67 90 #SUP: 2960
59 76 85 #SUP: 3280
59 76 86 #SUP: 3280
59 76 90 #SUP: 2936
59 85 86 #SUP: 4984
59 85 90 #SUP: 4736
59 85 93 #SUP: 3664
59 86 90 #SUP: 4544
59 86 93 #SUP: 3472
59 90 93 #SUP: 3416
63 67 85 #SUP: 3064
63 67 86 #SUP: 3064
63 67 90 #SUP: 2720
63 76 85 #SUP: 3040
63 76 86 #SUP: 3040
63 76 90 #SUP: 2696
63 85 86 #SUP: 4744
63 85 90 #SUP: 4496
63 85 93 #SUP: 3472
63 86 90 #SUP: 4304
63 86 93 #SUP: 3280
63 90 93 #SUP: 3224
67 76 85 #SUP: 3520
67 76 86 #SUP: 3520
67 76 90 #SUP: 3080
67 85 86 #SUP: 4464
67 85 90 #SUP: 3976
67 85 93 #SUP: 2608
67 86 90 #SUP: 3976
67 86 93 #SUP: 2608
76 85 86 #SUP: 4384
76 85 90 #SUP: 3896
76 85 93 #SUP: 2608
76 86 90 #SUP: 3896
76 86 93 #SUP: 2608
85 86 90 #SUP: 7288
85 86 93 #SUP: 3776
85 86 94 #SUP: 2768
85 86 110 #SUP: 3944
85 86 116 #SUP: 3148
85 90 93 #SUP: 3560
85 90 94 #SUP: 2584
85 90 110 #SUP: 3952
85 90 116 #SUP: 3104
86 90 93 #SUP: 3368
86 90 94 #SUP: 2576
86 90 110 #SUP: 3856
86 90 116 #SUP: 3104
1 24 34 36 #SUP: 3170
1 24 34 85 #SUP: 3274
1 24 34 86 #SUP: 3266
1 24 34 90 #SUP: 3256
1 24 34 110 #SUP: 2504
1 24 36 85 #SUP: 3188
1 24 36 86 #SUP: 3188
1 24 36 90 #SUP: 3152
1 24 36 110 #SUP: 2456
1 24 85 86 #SUP: 3284
1 24 85 90 #SUP: 3256
1 24 85 110 #SUP: 2504
1 24 86 90 #SUP: 3248
1 24 86 110 #SUP: 2504
1 24 90 110 #SUP: 2504
1 34 36 85 #SUP: 3786
1 34 36 86 #SUP: 3786
1 34 36 90 #SUP: 3696
1 34 36 110 #SUP: 2800
1 34 85 86 #SUP: 3890
1 34 85 90 #SUP: 3808
1 34 85 110 #SUP: 2848
1 34 86 90 #SUP: 3800
1 34 86 110 #SUP: 2848
1 34 90 110 #SUP: 2776
1 36 85 86 #SUP: 3804
1 36 85 90 #SUP: 3696
1 36 85 110 #SUP: 2800
1 36 86 90 #SUP: 3696
1 36 86 110 #SUP: 2800
1 36 90 110 #SUP: 2728
1 85 86 90 #SUP: 3800
1 85 86 110 #SUP: 2848
1 85 90 110 #SUP: 2776
1 86 90 110 #SUP: 2776
2 23 34 36 #SUP: 2656
2 23 34 39 #SUP: 2656
2 23 34 59 #SUP: 2752
2 23 34 63 #SUP: 2560
2 23 34 85 #SUP: 2752
2 23 34 86 #SUP: 2752
2 23 34 90 #SUP: 2528
2 23 34 93 #SUP: 2560
2 23 36 39 #SUP: 2656
2 23 36 59 #SUP: 2656
2 23 36 63 #SUP: 2464
2 23 36 85 #SUP: 2656
2 23 36 86 #SUP: 2656
2 23 36 93 #SUP: 2464
2 23 39 59 #SUP: 2656
2 23 39 63 #SUP: 2464
2 23 39 85 #SUP: 2656
2 23 39 86 #SUP: 2656
2 23 39 93 #SUP: 2464
2 23 59 63 #SUP: 2560
2 23 59 85 #SUP: 2752
2 23 59 86 #SUP: 2752
2 23 59 90 #SUP: 2528
2 23 59 93 #SUP: 2560
2 23 63 85 #SUP: 2560
2 23 63 86 #SUP: 2560
2 23 85 86 #SUP: 2752
2 23 85 90 #SUP: 2528
2 23 85 93 #SUP: 2560
2 23 86 90 #SUP: 2528
2 23 86 93 #SUP: 2560
2 23 90 93 #SUP: 2528
2 28 34 39 #SUP: 3024
2 28 34 53 #SUP: 2496
2 28 34 59 #SUP: 2648
2 28 34 63 #SUP: 2600
2 28 34 85 #SUP: 3216
2 28 34 86 #SUP: 3216
2 28 34 90 #SUP: 2688
2 28 39 53 #SUP: 2496
2 28 39 59 #SUP: 2672
2 28 39 63 #SUP: 2672
2 28 39 85 #SUP: 3216
2 28 39 86 #SUP: 3024
2 28 39 90 #SUP: 2688
2 28 53 85 #SUP: 2496
2 28 53 86 #SUP: 2496
2 28 53 90 #SUP: 2496
2 28 59 63 #SUP: 2516
2 28 59 85 #SUP: 2840
2 28 59 86 #SUP: 2648
2 28 59 90 #SUP: 2472
2 28 63 85 #SUP: 2792
2 28 63 86 #SUP: 2600
2 28 85 86 #SUP: 3216
2 28 85 90 #SUP: 2880
2 28 86 90 #SUP: 2688
2 34 36 39 #SUP: 2672
2 34 36 59 #SUP: 2800
2 34 36 63 #SUP: 2560
2 34 36 85 #SUP: 2816
2 34 36 86 #SUP: 2816
2 34 36 90 #SUP: 2576
2 34 36 93 #SUP: 2576
2 34 39 53 #SUP: 2496
2 34 39 59 #SUP: 3184
2 34 39 63 #SUP: 2992
2 34 39 67 #SUP: 2464
2 34 39 76 #SUP: 2464
2 34 39 85 #SUP: 3728
2 34 39 86 #SUP: 3728
2 34 39 90 #SUP: 3200
2 34 39 93 #SUP: 2768
2 34 53 85 #SUP: 2592
2 34 53 86 #SUP: 2592
2 34 53 90 #SUP: 2592
2 34 59 63 #SUP: 2932
2 34 59 85 #SUP: 3448
2 34 59 86 #SUP: 3448
2 34 59 90 #SUP: 3080
2 34 59 93 #SUP: 2800
2 34 63 85 #SUP: 3208
2 34 63 86 #SUP: 3208
2 34 63 90 #SUP: 2840
2 34 63 93 #SUP: 2608
2 34 67 85 #SUP: 2752
2 34 67 86 #SUP: 2752
2 34 76 85 #SUP: 2704
2 34 76 86 #SUP: 2704
2 34 85 86 #SUP: 4016
2 34 85 90 #SUP: 3488
2 34 85 93 #SUP: 2960
2 34 86 90 #SUP: 3488
2 34 86 93 #SUP: 2960
2 34 90 93 #SUP: 2624
2 36 39 59 #SUP: 2848
2 36 39 63 #SUP: 2656
2 36 39 85 #SUP: 2864
2 36 39 86 #SUP: 2672
2 36 39 90 #SUP: 2624
2 36 39 93 #SUP: 2672
2 36 59 63 #SUP: 2752
2 36 59 85 #SUP: 2992
2 36 59 86 #SUP: 2800
2 36 59 90 #SUP: 2768
2 36 59 93 #SUP: 2752
2 36 63 85 #SUP: 2752
2 36 63 86 #SUP: 2560
2 36 63 90 #SUP: 2528
2 36 63 93 #SUP: 2560
2 36 85 86 #SUP: 2816
2 36 85 90 #SUP: 2768
2 36 85 93 #SUP: 2768
2 36 86 90 #SUP: 2576
2 36 86 93 #SUP: 2576
2 36 90 93 #SUP: 2720
2 39 53 85 #SUP: 2496
2 39 53 86 #SUP: 2496
2 39 53 90 #SUP: 2496
2 39 59 63 #SUP: 2920
2 39 59 85 #SUP: 3376
2 39 59 86 #SUP: 3184
2 39 59 90 #SUP: 3008
2 39 59 93 #SUP: 2800
2 39 63 85 #SUP: 3184
2 39 63 86 #SUP: 2992
2 39 63 90 #SUP: 2816
2 39 63 93 #SUP: 2608
2 39 67 85 #SUP: 2464
2 39 67 86 #SUP: 2464
2 39 76 85 #SUP: 2464
2 39 76 86 #SUP: 2464
2 39 85 86 #SUP: 3728
2 39 85 90 #SUP: 3392
2 39 85 93 #SUP: 2960
2 39 86 90 #SUP: 3200
2 39 86 93 #SUP: 2768
2 39 90 93 #SUP: 2624
2 53 85 86 #SUP: 2592
2 53 85 90 #SUP: 2592
2 53 86 90 #SUP: 2592
2 59 63 85 #SUP: 3124
2 59 63 86 #SUP: 2932
2 59 63 90 #SUP: 2828
2 59 63 93 #SUP: 2728
2 59 85 86 #SUP: 3448
2 59 85 90 #SUP: 3272
2 59 85 93 #SUP: 2992
2 59 86 90 #SUP: 3080
2 59 86 93 #SUP: 2800
2 59 90 93 #SUP: 2816
2 63 85 86 #SUP: 3208
2 63 85 90 #SUP: 3032
2 63 85 93 #SUP: 2800
2 63 86 90 #SUP: 2840
2 63 86 93 #SUP: 2608
2 63 90 93 #SUP: 2624
2 67 85 86 #SUP: 2752
2 76 85 86 #SUP: 2704
2 85 86 90 #SUP: 3488
2 85 86 93 #SUP: 2960
2 85 90 93 #SUP: 2816
2 86 90 93 #SUP: 2624
3 34 36 85 #SUP: 2962
3 34 36 86 #SUP: 2962
3 34 36 90 #SUP: 2872
3 34 39 85 #SUP: 2578
3 34 39 86 #SUP: 2578
3 34 85 86 #SUP: 3602
3 34 85 90 #SUP: 3416
3 34 86 90 #SUP: 3416
3 36 85 86 #SUP: 2968
3 36 85 90 #SUP: 2920
3 36 86 90 #SUP: 2872
3 39 85 86 #SUP: 2584
3 39 85 90 #SUP: 2440
3 85 86 90 #SUP: 3416
6 34 36 85 #SUP: 2646
6 34 36 86 #SUP: 2646
6 34 36 90 #SUP: 2520
6 34 85 86 #SUP: 3096
6 34 85 90 #SUP: 2972
6 34 86 90 #SUP: 2970
6 36 85 86 #SUP: 2652
6 36 85 90 #SUP: 2568
6 36 86 90 #SUP: 2520
6 85 86 90 #SUP: 2970
10 34 36 85 #SUP: 3190
10 34 36 86 #SUP: 3190
10 34 36 90 #SUP: 3016
10 34 85 86 #SUP: 3218
10 34 85 90 #SUP: 3052
10 34 86 90 #SUP: 3044
10 36 85 86 #SUP: 3208
10 36 85 90 #SUP: 3016
10 36 86 90 #SUP: 3016
10 85 86 90 #SUP: 3044
23 34 36 39 #SUP: 3016
23 34 36 59 #SUP: 3128
23 34 36 63 #SUP: 2936
23 34 36 85 #SUP: 3272
23 34 36 86 #SUP: 3272
23 34 36 90 #SUP: 2976
23 34 36 93 #SUP: 3080
23 34 39 59 #SUP: 2872
23 34 39 63 #SUP: 2680
23 34 39 85 #SUP: 3016
23 34 39 86 #SUP: 3016
23 34 39 90 #SUP: 2720
23 34 39 93 #SUP: 2824
23 34 59 63 #SUP: 2968
23 34 59 85 #SUP: 3232
23 34 59 86 #SUP: 3232
23 34 59 90 #SUP: 2936
23 34 59 93 #SUP: 3040
23 34 63 85 #SUP: 3040
23 34 63 86 #SUP: 3040
23 34 63 90 #SUP: 2744
23 34 63 93 #SUP: 2848
23 34 85 86 #SUP: 3376
23 34 85 90 #SUP: 3080
23 34 85 93 #SUP: 3184
23 34 86 90 #SUP: 3080
23 34 86 93 #SUP: 3184
23 34 90 93 #SUP: 3080
23 36 39 59 #SUP: 2872
